maxspeed,length,lanes,paris_id
70.0,432.9,4,5169
70.0,531.9,3,5173
70.0,581.6,3,5175
70.0,593.3,3,5176
70.0,326.8,3,5181
70.0,448.2,3,5182
70.0,421.8,3,5183
70.0,281.4,4,5184
70.0,364.5,3,5185
70.0,445.9,3,5186
70.0,468.1,3,5187
70.0,1277.2,3,5205
70.0,1362.6,3,5207
70.0,1362.6,3,5208
70.0,467.4,4,5214
70.0,510.7,4,5215
70.0,553.6,3,5232
70.0,683.0,2,5233
70.0,453.7,3,5236
70.0,498.8,3,5264
70.0,498.8,3,5266
70.0,448.8,4,5273
70.0,494.0,4,5275
70.0,568.8,4,5277
70.0,415.7,4,5279
70.0,390.2,4,5282
70.0,276.5,4,5289
70.0,636.6,4,5298
70.0,565.5,4,5299
70.0,673.6,3,5301
70.0,673.6,3,5302
50.0,403.2,2,5308
70.0,746.1,3,5310
70.0,570.5,2,5312
70.0,1230.5,2,5314
70.0,1230.5,2,5315
70.0,474.0,3,5317
70.0,390.2,4,5319
70.0,596.8,4,5322
70.0,596.8,4,5324
70.0,772.7,4,5325
70.0,772.7,4,5326
70.0,935.7,4,5327
70.0,781.4,4,5328
70.0,588.6,4,5329
70.0,528.6,4,5330
70.0,567.2,4,5331
70.0,572.0,4,5332
70.0,408.8,4,5333
70.0,408.8,4,5334
70.0,381.0,4,5335
70.0,750.5,4,5336
70.0,773.9,4,5337
70.0,773.9,4,5338
70.0,179.6,4,5343
60.0,254.6,3,5346
70.0,868.2,5,5353
70.0,841.7,4,5354
70.0,773.3,4,5355
70.0,569.5,4,5360
70.0,841.7,4,5361
70.0,697.4,4,5362
70.0,757.8,4,5363
70.0,878.7,4,5364
70.0,724.9,4,5365
70.0,866.9,4,5366
70.0,973.3,4,5367
70.0,323.9,4,5370
70.0,174.5,5,5375
70.0,339.9,4,5376
70.0,353.5,5,5377
70.0,353.5,5,5378
70.0,409.7,4,5379
70.0,900.8,4,5382
70.0,764.4,4,5384
70.0,764.4,4,5385
70.0,603.0,4,5386
70.0,558.1,4,5387
70.0,292.8,4,5388
70.0,793.5,4,5389
70.0,447.5,4,5390
70.0,508.9,4,5391
70.0,697.8,4,5392
70.0,807.0,4,5393
70.0,515.3,4,5394
70.0,385.9,4,5395
70.0,777.4,4,5404
70.0,785.0,4,5405
70.0,848.2,4,5406
70.0,861.7,4,5407
70.0,861.7,4,5408
70.0,448.5,4,5409
70.0,510.2,4,5410
70.0,852.3,4,5411
70.0,891.7,4,5412
70.0,891.7,4,5413
70.0,608.4,4,5414
70.0,601.0,4,5415
70.0,799.1,4,5419
70.0,451.2,4,5421
70.0,544.5,4,5425
70.0,610.0,4,5431
70.0,618.4,4,5432
70.0,583.0,4,5433
70.0,591.9,4,5434
70.0,609.6,4,5435
70.0,636.0,4,5436
70.0,111.3,5,5437
70.0,216.3,4,5438
70.0,158.7,5,5439
70.0,874.3,4,5441
70.0,582.2,4,5446
70.0,405.7,4,5450
70.0,690.5,4,5455
70.0,956.9,4,5456
